iter	Passed	Remaining
560	130172	101863
561	130386	101618
562	130581	101357
563	130797	101113
564	131003	100861
565	131196	100599
566	131393	100341
567	131636	100117
568	131832	99858
569	132035	99605
570	132251	99362
571	132478	99127
572	132705	98892
573	132898	98632
574	133109	98385
575	133337	98150
576	133548	97904
577	133805	97691
578	134031	97456
579	134251	97216
580	134472	96977
581	134719	96757
582	134927	96509
583	135135	96260
584	135354	96020
585	135556	95768
586	135774	95527
587	135983	95280
588	136223	95056
589	136453	94823
590	136684	94592
591	136887	94341
592	137116	94108
593	137310	93851
594	137527	93610
595	137762	93382
596	137970	93135
597	138162	92878
598	138356	92622
599	138549	92366
600	138742	92110
601	138966	91875
602	139169	91625
603	139371	91375
604	139574	91127
605	139788	90885
606	140011	90650
607	140220	90405
608	140413	90150
609	140608	89897
610	140822	89656
611	141014	89401
612	141220	89155
613	141469	88936
614	141686	88698
615	141905	88460
616	142118	88219
617	142331	87978
618	142585	87762
619	142777	87508
620	143015	87283
621	143236	87047
622	143454	86809
623	143675	86573
624	143872	86323
625	144083	86081
626	144297	85842
627	144499	85595
628	144720	85359
629	144931	85118
630	145126	84867
631	145336	84626
632	145528	84374
633	145745	84136
634	145955	83895
635	146177	83661
636	146379	83415
637	146587	83173
638	146809	82939
639	147017	82697
640	147222	82453
641	147446	82221
642	147645	81974
643	147885	81750
644	148116	81521
645	148353	81295
646	148610	81081
647	148876	80871
648	149078	80626
649	149296	80390
650	149501	80147
651	149737	79921
652	149931	79672
653	150163	79444
654	150370	79203
655	150568	78956
656	150762	78708
657	150970	78468
658	151190	78233
659	151424	78006
660	151629	77764
661	151825	77518
662	152039	77281
663	152255	77044
664	152448	76797
665	152642	76550
666	152845	76308
667	153037	76060
668	153253	75824
669	153457	75583
670	153666	75344
671	153881	75108
672	154094	74872
673	154319	74641
674	154538	74407
675	154735	74163
676	154948	73926
677	155141	73680
678	155366	73450
679	155562	73206
680	155762	72963
681	155961	72721
682	156161	72479
683	156376	72244
684	156573	72000
685	156787	71765
686	157001	71530
687	157197	71287
688	157390	71042
689	157600	70806
690	157806	70567
691	158029	70336
692	158221	70092
693	158413	69848
694	158606	69604
695	158813	69366
696	159029	69133
697	159247	68900
698	159465	68668
699	159662	68426
700	159865	68187
701	160083	67955
702	160287	67717
703	160497	67481
704	160717	67250
705	160921	67012
706	161125	66774
707	161343	66542
708	161563	66311
709	161756	66069
710	161975	65838
711	162224	65619
712	162453	65391
713	162662	65156
714	162877	64923
715	163072	64682
716	163309	64458
717	163502	64216
718	163695	63975
719	163899	63738
720	164109	63504
721	164331	63274
722	164570	63051
723	164787	62819
724	164989	62582
725	165220	62355
726	165428	62120
727	165624	61881
728	165844	61651
729	166036	61410
730	166249	61178
731	166463	60945
732	166662	60708
733	166917	60490
734	167130	60257
735	167336	60023
736	167569	59797
737	167803	59572
738	168024	59342
739	168220	59104
740	168430	58871
741	168628	58633
742	168848	58403
743	169050	58168
744	169242	57928
745	169435	57689
746	169654	57460
747	169874	57230
748	170110	57006
749	170307	56769
750	170530	56540
751	170727	56303
752	170923	56066
753	171149	55839
754	171346	55602
755	171577	55376
756	171786	55144
757	171988	54909
758	172192	54675
759	172408	54444
760	172627	54215
761	172847	53986
762	173036	53747
763	173254	53518
764	173443	53280
765	173680	53056
766	173875	52820
767	174085	52588
768	174276	52350
769	174481	52117
770	174670	51880
771	174866	51644
772	175047	51404
773	175248	51170
774	175442	50935
775	175630	50697
776	175811	50458
777	176013	50224
778	176194	49985
779	176404	49755
780	176640	49531
781	176848	49300
782	177030	49062
783	177212	48823
784	177395	48585
785	177575	48347
786	177785	48117
787	177980	47882
788	178162	47645
789	178346	47408
790	178532	47172
791	178733	46940
792	178924	46705
793	179136	46476
794	179338	46244
795	179522	46008
796	179716	45774
797	179947	45550
798	180147	45318
799	180355	45088
800	180557	44857
801	180744	44622
802	180940	44390
803	181179	44168
804	181385	43937
805	181569	43702
806	181750	43466
807	181937	43232
808	182131	43000
809	182322	42767
810	182538	42539
811	182729	42306
812	182921	42074
813	183120	41843
814	183301	41608
815	183484	41374
816	183691	41145
817	183881	40912
818	184075	40680
819	184265	40448
820	184457	40216
821	184701	39996
822	184901	39766
823	185102	39536
824	185284	39302
825	185466	39069
826	185664	38839
827	185877	38612
828	186063	38379
829	186252	38148
830	186455	37919
831	186636	37686
832	186845	37458
833	187055	37231
834	187267	37004
835	187453	36773
836	187675	36548
837	187878	36320
838	188084	36092
839	188292	35865
840	188486	35635
841	188668	35403
842	188888	35178
843	189093	34950
844	189278	34719
845	189465	34488
846	189680	34263
847	189886	34036
848	190098	33810
849	190295	33581
850	190504	33355
851	190688	33124
852	190913	32900
853	191108	32671
854	191320	32446
855	191523	32218
856	191712	31989
857	191894	31758
858	192075	31528
859	192266	31299
860	192458	31070
861	192644	30840
862	192829	30611
863	193038	30385
864	193231	30157
865	193434	29930
866	193660	29707
867	193858	29480
868	194040	29251
869	194224	29022
870	194418	28794
871	194601	28565
872	194805	28339
873	194988	28110
874	195188	27884
875	195381	27656
876	195598	27432
877	195784	27204
878	195973	26977
879	196156	26748
880	196352	26522
881	196537	26294
882	196733	26067
883	196931	25841
884	197138	25616
885	197333	25390
886	197539	25165
887	197724	24938
888	197908	24710
889	198126	24487
890	198325	24262
891	198548	24039
892	198750	23814
893	198940	23588
894	199125	23361
895	199353	23139
896	199540	22912
897	199771	22691
898	199984	22467
899	200184	22242
900	200398	22019
901	200582	21792
902	200776	21567
903	200978	21342
904	201182	21118
905	201365	20892
906	201551	20666
907	201738	20440
908	201931	20215
909	202117	19989
910	202315	19765
911	202496	19539
912	202727	19317
913	202912	19092
914	203100	18867
915	203281	18641
916	203463	18415
917	203668	18192
918	203864	17968
919	204048	17743
920	204229	17518
921	204425	17294
922	204606	17068
923	204815	16846
924	205012	16622
925	205196	16398
926	205390	16174
927	205624	15953
928	205837	15731
929	206034	15507
930	206235	15284
931	206440	15062
932	206622	14837
933	206809	14613
934	206993	14389
935	207174	14165
936	207381	13943
937	207563	13719
938	207765	13497
939	207951	13273
940	208140	13050
941	208334	12827
942	208521	12604
943	208704	12380
944	208908	12158
945	209093	11935
946	209298	11713
947	209500	11491
948	209711	11270
949	209921	11048
950	210109	10825
951	210308	10603
952	210499	10381
953	210706	10159
954	210908	9938
955	211115	9716
956	211317	9494
957	211506	9272
958	211722	9051
959	211925	8830
960	212136	8609
961	212318	8386
962	212501	8164
963	212686	7942
964	212869	7720
965	213054	7498
966	213276	7278
967	213506	7058
968	213711	6837
969	213910	6615
970	214110	6394
971	214321	6173
972	214531	5953
973	214715	5731
974	214897	5510
975	215084	5288
976	215294	5068
977	215492	4847
978	215686	4626
979	215926	4406
980	216159	4186
981	216340	3965
982	216546	3744
983	216754	3524
984	216936	3303
985	217153	3083
986	217371	2863
987	217570	2642
988	217775	2422
989	217961	2201
990	218168	1981
991	218350	1760
992	218533	1540
993	218728	1320
994	218910	1100
995	219129	880
996	219331	659
997	219526	439
998	219728	219
999	219909	0
